Temperature(°C),Humidity(%),Wind speed (m/s),Solar Radiation (MJ/m2),Visibility (10m),Month,Weekday,Hour,Holiday,Seasons,Rented Bike Count
-0.8,81,0.8,0.0,1687,December,Friday,8 PM - 12 AM,No,Winter,405
-0.9,83,1.5,0.0,1380,December,Friday,8 PM - 12 AM,No,Winter,398
-1.3,84,1.0,0.0,1265,December,Friday,8 PM - 12 AM,No,Winter,323
-1.8,87,1.1,0.0,994,December,Saturday,12 AM - 4 AM,No,Winter,328
-2.2,86,0.6,0.0,990,December,Saturday,12 AM - 4 AM,No,Winter,308
-2.9,86,1.5,0.0,1256,December,Saturday,12 AM - 4 AM,No,Winter,262
-3.5,81,2.2,0.0,1221,December,Saturday,12 AM - 4 AM,No,Winter,167
-3.8,79,2.0,0.0,1167,December,Saturday,4 AM - 8 AM,No,Winter,89
-4.0,79,1.5,0.0,1202,December,Saturday,4 AM - 8 AM,No,Winter,79
-4.3,82,2.1,0.0,1178,December,Saturday,4 AM - 8 AM,No,Winter,70
-4.4,81,2.5,0.0,1276,December,Saturday,4 AM - 8 AM,No,Winter,146
-4.2,79,2.1,0.01,1436,December,Saturday,8 AM - 12 PM,No,Winter,219
-2.9,68,1.6,0.3,1487,December,Saturday,8 AM - 12 PM,No,Winter,328
-0.4,57,1.6,0.8,1309,December,Saturday,8 AM - 12 PM,No,Winter,334
1.9,49,1.8,1.0,1406,December,Saturday,8 AM - 12 PM,No,Winter,388
4.3,41,1.3,1.09,1666,December,Saturday,12 PM - 4 PM,No,Winter,479
6.0,36,1.8,1.12,1780,December,Saturday,12 PM - 4 PM,No,Winter,606
7.3,35,1.3,0.99,1955,December,Saturday,12 PM - 4 PM,No,Winter,611
7.6,41,2.3,0.74,1953,December,Saturday,12 PM - 4 PM,No,Winter,589
6.4,48,2.6,0.22,1945,December,Saturday,4 PM - 8 PM,No,Winter,618
6.0,51,2.5,0.06,1891,December,Saturday,4 PM - 8 PM,No,Winter,572
5.5,53,1.5,0.0,1697,December,Saturday,4 PM - 8 PM,No,Winter,489
5.0,52,2.3,0.0,1666,December,Saturday,4 PM - 8 PM,No,Winter,385
4.6,51,1.2,0.0,1585,December,Saturday,8 PM - 12 AM,No,Winter,359
4.1,55,1.2,0.0,1448,December,Saturday,8 PM - 12 AM,No,Winter,377
3.5,54,1.5,0.0,1446,December,Saturday,8 PM - 12 AM,No,Winter,354
4.0,56,1.0,0.0,1352,December,Saturday,8 PM - 12 AM,No,Winter,366
4.0,58,1.4,0.0,1296,December,Sunday,12 AM - 4 AM,No,Winter,342
3.9,69,1.7,0.0,485,December,Sunday,12 AM - 4 AM,No,Winter,227
3.3,79,1.4,0.0,830,December,Sunday,12 AM - 4 AM,No,Winter,228
3.4,71,1.6,0.0,1011,December,Sunday,12 AM - 4 AM,No,Winter,117
3.5,73,1.0,0.0,1060,December,Sunday,4 AM - 8 AM,No,Winter,76
3.9,75,1.9,0.0,914,December,Sunday,4 AM - 8 AM,No,Winter,32
3.4,86,2.5,0.0,278,December,Sunday,4 AM - 8 AM,No,Winter,13
3.1,91,1.2,0.0,129,December,Sunday,4 AM - 8 AM,No,Winter,22
3.2,92,1.8,0.0,244,December,Sunday,8 AM - 12 PM,No,Winter,85
3.5,91,1.8,0.02,231,December,Sunday,8 AM - 12 PM,No,Winter,152
4.4,89,2.2,0.24,257,December,Sunday,8 AM - 12 PM,No,Winter,200
5.1,87,1.4,0.25,321,December,Sunday,8 AM - 12 PM,No,Winter,273
5.8,85,1.7,0.43,349,December,Sunday,12 PM - 4 PM,No,Winter,333
6.8,81,1.9,0.6,390,December,Sunday,12 PM - 4 PM,No,Winter,495
7.6,76,1.2,0.69,422,December,Sunday,12 PM - 4 PM,No,Winter,563
8.0,73,1.6,0.53,433,December,Sunday,12 PM - 4 PM,No,Winter,621
7.6,77,1.6,0.2,399,December,Sunday,4 PM - 8 PM,No,Winter,598
6.7,82,1.5,0.05,358,December,Sunday,4 PM - 8 PM,No,Winter,545
6.0,84,1.9,0.0,327,December,Sunday,4 PM - 8 PM,No,Winter,443
5.7,85,1.7,0.0,309,December,Sunday,4 PM - 8 PM,No,Winter,422
5.2,87,1.4,0.0,253,December,Sunday,8 PM - 12 AM,No,Winter,397
4.7,87,1.2,0.0,247,December,Sunday,8 PM - 12 AM,No,Winter,385
4.3,89,1.8,0.0,201,December,Sunday,8 PM - 12 AM,No,Winter,350
3.9,90,1.3,0.0,194,December,Sunday,8 PM - 12 AM,No,Winter,303
4.2,88,0.6,0.0,216,December,Monday,12 AM - 4 AM,No,Winter,285
4.3,87,0.5,0.0,221,December,Monday,12 AM - 4 AM,No,Winter,186
4.4,87,1.8,0.0,207,December,Monday,12 AM - 4 AM,No,Winter,112
3.6,85,2.3,0.0,206,December,Monday,12 AM - 4 AM,No,Winter,65
2.8,89,1.5,0.0,130,December,Monday,4 AM - 8 AM,No,Winter,41
2.0,83,2.7,0.0,253,December,Monday,4 AM - 8 AM,No,Winter,82
1.2,76,3.7,0.0,371,December,Monday,4 AM - 8 AM,No,Winter,200
0.2,68,3.4,0.0,702,December,Monday,4 AM - 8 AM,No,Winter,498
-0.8,69,3.5,0.01,954,December,Monday,8 AM - 12 PM,No,Winter,937
-1.5,47,4.2,0.22,1888,December,Monday,8 AM - 12 PM,No,Winter,509
-1.1,40,4.5,0.64,2000,December,Monday,8 AM - 12 PM,No,Winter,311
-0.5,41,4.1,0.94,1799,December,Monday,8 AM - 12 PM,No,Winter,379
-0.3,38,4.8,1.11,1823,December,Monday,12 PM - 4 PM,No,Winter,393
0.0,30,5.4,1.17,1938,December,Monday,12 PM - 4 PM,No,Winter,391
0.1,27,4.5,1.09,2000,December,Monday,12 PM - 4 PM,No,Winter,338
-0.1,25,5.8,0.88,2000,December,Monday,12 PM - 4 PM,No,Winter,341
-0.2,23,4.7,0.55,2000,December,Monday,4 PM - 8 PM,No,Winter,375
-1.3,26,5.3,0.18,2000,December,Monday,4 PM - 8 PM,No,Winter,515
-2.1,29,3.9,0.0,2000,December,Monday,4 PM - 8 PM,No,Winter,807
-2.9,32,3.2,0.0,2000,December,Monday,4 PM - 8 PM,No,Winter,568
-3.6,38,3.0,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,398
-4.6,43,4.5,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,397
-5.3,45,2.5,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,353
-5.8,44,2.4,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,248
-6.1,42,2.6,0.0,2000,December,Tuesday,12 AM - 4 AM,No,Winter,216
-6.5,41,2.8,0.0,2000,December,Tuesday,12 AM - 4 AM,No,Winter,198
-6.8,41,2.5,0.0,2000,December,Tuesday,12 AM - 4 AM,No,Winter,124
-6.9,39,2.0,0.0,2000,December,Tuesday,12 AM - 4 AM,No,Winter,62
-7.2,34,3.0,0.0,2000,December,Tuesday,4 AM - 8 AM,No,Winter,42
-7.4,33,2.6,0.0,2000,December,Tuesday,4 AM - 8 AM,No,Winter,82
-7.4,34,3.2,0.0,2000,December,Tuesday,4 AM - 8 AM,No,Winter,172
-7.5,33,2.2,0.0,2000,December,Tuesday,4 AM - 8 AM,No,Winter,381
-8.1,36,1.6,0.01,2000,December,Tuesday,8 AM - 12 PM,No,Winter,812
-7.6,31,1.3,0.21,1974,December,Tuesday,8 AM - 12 PM,No,Winter,462
-5.5,26,2.8,0.64,1967,December,Tuesday,8 AM - 12 PM,No,Winter,269
-3.9,25,0.0,0.0,1959,December,Tuesday,8 AM - 12 PM,No,Winter,334
-2.3,25,0.0,0.0,1962,December,Tuesday,12 PM - 4 PM,No,Winter,321
-1.6,27,0.0,0.0,1955,December,Tuesday,12 PM - 4 PM,No,Winter,325
-1.1,28,0.0,0.0,2000,December,Tuesday,12 PM - 4 PM,No,Winter,334
-0.7,28,0.0,0.0,2000,December,Tuesday,12 PM - 4 PM,No,Winter,353
-0.5,30,0.0,0.0,2000,December,Tuesday,4 PM - 8 PM,No,Winter,435
-1.6,35,0.0,0.0,2000,December,Tuesday,4 PM - 8 PM,No,Winter,529
-2.6,40,0.0,0.0,2000,December,Tuesday,4 PM - 8 PM,No,Winter,789
-3.2,45,0.0,0.0,2000,December,Tuesday,4 PM - 8 PM,No,Winter,597
-3.5,46,0.0,0.0,2000,December,Tuesday,8 PM - 12 AM,No,Winter,418
-3.7,47,0.0,0.0,2000,December,Tuesday,8 PM - 12 AM,No,Winter,415
-2.8,49,0.0,0.0,2000,December,Tuesday,8 PM - 12 AM,No,Winter,393
-2.5,59,0.0,0.0,1210,December,Tuesday,8 PM - 12 AM,No,Winter,244
-2.8,77,0.0,0.0,331,December,Wednesday,12 AM - 4 AM,No,Winter,145
-3.0,79,0.0,0.0,293,December,Wednesday,12 AM - 4 AM,No,Winter,144
-3.0,79,0.0,0.0,1862,December,Wednesday,12 AM - 4 AM,No,Winter,117
-3.2,78,0.0,0.0,1808,December,Wednesday,12 AM - 4 AM,No,Winter,78
-3.4,75,0.0,0.0,1982,December,Wednesday,4 AM - 8 AM,No,Winter,58
-3.6,76,0.0,0.0,1934,December,Wednesday,4 AM - 8 AM,No,Winter,87
-3.7,76,0.0,0.0,1864,December,Wednesday,4 AM - 8 AM,No,Winter,142
-4.2,77,0.0,0.0,1741,December,Wednesday,4 AM - 8 AM,No,Winter,379
-4.2,78,0.0,0.01,1518,December,Wednesday,8 AM - 12 PM,No,Winter,802
-3.3,70,0.0,0.25,1324,December,Wednesday,8 AM - 12 PM,No,Winter,440
-0.9,64,0.0,0.63,1224,December,Wednesday,8 AM - 12 PM,No,Winter,307
1.6,57,1.2,0.93,1261,December,Wednesday,8 AM - 12 PM,No,Winter,381
2.4,52,0.9,1.08,1224,December,Wednesday,12 PM - 4 PM,No,Winter,405
4.2,47,1.1,1.1,1469,December,Wednesday,12 PM - 4 PM,No,Winter,442
5.5,34,1.0,0.96,1966,December,Wednesday,12 PM - 4 PM,No,Winter,416
5.5,31,3.1,0.72,1968,December,Wednesday,12 PM - 4 PM,No,Winter,412
5.3,37,2.9,0.36,2000,December,Wednesday,4 PM - 8 PM,No,Winter,496
4.1,60,2.5,0.1,1565,December,Wednesday,4 PM - 8 PM,No,Winter,239
1.7,90,1.0,0.0,66,December,Wednesday,4 PM - 8 PM,No,Winter,204
1.2,92,0.7,0.0,180,December,Wednesday,4 PM - 8 PM,No,Winter,205
1.2,94,0.6,0.0,228,December,Wednesday,8 PM - 12 AM,No,Winter,190
1.1,92,0.5,0.0,235,December,Wednesday,8 PM - 12 AM,No,Winter,165
1.3,92,0.6,0.0,233,December,Wednesday,8 PM - 12 AM,No,Winter,222
1.3,92,0.6,0.0,209,December,Wednesday,8 PM - 12 AM,No,Winter,193
1.4,92,0.5,0.0,240,December,Thursday,12 AM - 4 AM,No,Winter,198
1.5,92,0.4,0.0,227,December,Thursday,12 AM - 4 AM,No,Winter,218
1.4,92,0.7,0.0,168,December,Thursday,12 AM - 4 AM,No,Winter,149
1.9,91,1.4,0.0,218,December,Thursday,12 AM - 4 AM,No,Winter,102
1.6,92,0.7,0.0,119,December,Thursday,4 AM - 8 AM,No,Winter,62
1.5,92,1.1,0.0,175,December,Thursday,4 AM - 8 AM,No,Winter,83
1.0,93,0.5,0.0,148,December,Thursday,4 AM - 8 AM,No,Winter,137
0.3,93,0.5,0.0,173,December,Thursday,4 AM - 8 AM,No,Winter,367
-0.2,96,0.8,0.01,173,December,Thursday,8 AM - 12 PM,No,Winter,754
0.1,91,0.8,0.14,265,December,Thursday,8 AM - 12 PM,No,Winter,415
1.1,83,0.7,0.41,311,December,Thursday,8 AM - 12 PM,No,Winter,321
2.3,69,1.7,0.63,628,December,Thursday,8 AM - 12 PM,No,Winter,333
3.7,65,2.4,0.98,833,December,Thursday,12 PM - 4 PM,No,Winter,431
4.1,37,3.1,1.14,1767,December,Thursday,12 PM - 4 PM,No,Winter,394
4.4,36,2.7,1.04,1975,December,Thursday,12 PM - 4 PM,No,Winter,390
4.0,35,3.1,0.84,1962,December,Thursday,12 PM - 4 PM,No,Winter,430
3.2,38,2.9,0.51,1817,December,Thursday,4 PM - 8 PM,No,Winter,471
2.1,50,2.0,0.15,1434,December,Thursday,4 PM - 8 PM,No,Winter,552
0.7,46,2.7,0.0,1558,December,Thursday,4 PM - 8 PM,No,Winter,795
-0.4,47,2.5,0.0,1269,December,Thursday,4 PM - 8 PM,No,Winter,507
-1.4,47,2.5,0.0,1620,December,Thursday,8 PM - 12 AM,No,Winter,390
-2.2,46,2.2,0.0,1975,December,Thursday,8 PM - 12 AM,No,Winter,402
-2.7,48,2.6,0.0,1844,December,Thursday,8 PM - 12 AM,No,Winter,389
-3.2,50,2.1,0.0,1887,December,Thursday,8 PM - 12 AM,No,Winter,259
-3.5,49,2.6,0.0,1893,December,Friday,12 AM - 4 AM,No,Winter,233
-3.7,50,2.5,0.0,1902,December,Friday,12 AM - 4 AM,No,Winter,230
-4.3,53,1.0,0.0,1918,December,Friday,12 AM - 4 AM,No,Winter,131
-4.8,52,1.6,0.0,1978,December,Friday,12 AM - 4 AM,No,Winter,99
-5.3,53,2.4,0.0,1936,December,Friday,4 AM - 8 AM,No,Winter,71
-5.8,56,2.0,0.0,1941,December,Friday,4 AM - 8 AM,No,Winter,84
-6.0,56,3.5,0.0,1853,December,Friday,4 AM - 8 AM,No,Winter,158
-6.5,57,0.8,0.0,1776,December,Friday,4 AM - 8 AM,No,Winter,387
-7.0,59,0.8,0.01,1559,December,Friday,8 AM - 12 PM,No,Winter,780
-6.7,50,0.9,0.23,1492,December,Friday,8 AM - 12 PM,No,Winter,395
-5.3,44,2.8,0.63,1516,December,Friday,8 AM - 12 PM,No,Winter,261
-3.7,39,1.4,0.93,1595,December,Friday,8 AM - 12 PM,No,Winter,310
-2.0,30,1.4,1.14,1728,December,Friday,12 PM - 4 PM,No,Winter,355
-1.7,28,1.8,1.22,1963,December,Friday,12 PM - 4 PM,No,Winter,354
-1.3,27,3.1,1.12,1906,December,Friday,12 PM - 4 PM,No,Winter,350
-0.8,26,3.3,0.87,1977,December,Friday,12 PM - 4 PM,No,Winter,362
-1.1,24,3.4,0.56,2000,December,Friday,4 PM - 8 PM,No,Winter,401
-2.4,30,2.7,0.18,2000,December,Friday,4 PM - 8 PM,No,Winter,500
-3.1,33,1.2,0.0,2000,December,Friday,4 PM - 8 PM,No,Winter,752
-3.3,35,1.1,0.0,2000,December,Friday,4 PM - 8 PM,No,Winter,477
-3.3,34,1.5,0.0,2000,December,Friday,8 PM - 12 AM,No,Winter,384
-3.3,35,0.5,0.0,2000,December,Friday,8 PM - 12 AM,No,Winter,336
-3.4,39,1.2,0.0,2000,December,Friday,8 PM - 12 AM,No,Winter,347
-3.5,43,0.9,0.0,2000,December,Friday,8 PM - 12 AM,No,Winter,275
-3.5,48,0.9,0.0,1967,December,Saturday,12 AM - 4 AM,No,Winter,267
-4.1,49,0.6,0.0,2000,December,Saturday,12 AM - 4 AM,No,Winter,296
-4.7,50,0.7,0.0,1983,December,Saturday,12 AM - 4 AM,No,Winter,237
-4.3,47,0.6,0.0,1992,December,Saturday,12 AM - 4 AM,No,Winter,169
-4.3,49,0.7,0.0,2000,December,Saturday,4 AM - 8 AM,No,Winter,96
-4.7,49,0.8,0.0,1999,December,Saturday,4 AM - 8 AM,No,Winter,56
-5.1,53,0.9,0.0,1975,December,Saturday,4 AM - 8 AM,No,Winter,76
-5.5,56,0.8,0.0,1950,December,Saturday,4 AM - 8 AM,No,Winter,127
-5.4,56,0.7,0.01,1940,December,Saturday,8 AM - 12 PM,No,Winter,222
-4.7,48,1.0,0.23,1784,December,Saturday,8 AM - 12 PM,No,Winter,291
-2.2,42,1.3,0.61,1646,December,Saturday,8 AM - 12 PM,No,Winter,273
0.0,45,1.1,0.89,1500,December,Saturday,8 AM - 12 PM,No,Winter,351
2.4,40,0.8,1.05,1809,December,Saturday,12 PM - 4 PM,No,Winter,427
3.9,36,2.0,1.13,1702,December,Saturday,12 PM - 4 PM,No,Winter,431
4.7,32,2.2,1.06,1948,December,Saturday,12 PM - 4 PM,No,Winter,486
5.2,30,2.0,0.84,1963,December,Saturday,12 PM - 4 PM,No,Winter,569
4.4,33,1.6,0.4,1963,December,Saturday,4 PM - 8 PM,No,Winter,546
3.5,37,1.8,0.1,1963,December,Saturday,4 PM - 8 PM,No,Winter,481
2.5,41,1.0,0.0,1974,December,Saturday,4 PM - 8 PM,No,Winter,384
1.5,48,0.4,0.0,1878,December,Saturday,4 PM - 8 PM,No,Winter,275
0.8,51,1.4,0.0,1848,December,Saturday,8 PM - 12 AM,No,Winter,298
-0.1,55,0.7,0.0,1654,December,Saturday,8 PM - 12 AM,No,Winter,321
-0.5,55,0.6,0.0,1655,December,Saturday,8 PM - 12 AM,No,Winter,289
-0.1,54,1.3,0.0,1570,December,Saturday,8 PM - 12 AM,No,Winter,265
-0.2,55,1.0,0.0,1629,December,Sunday,12 AM - 4 AM,No,Winter,326
-0.2,54,0.5,0.0,1747,December,Sunday,12 AM - 4 AM,No,Winter,280
0.2,52,0.7,0.0,1726,December,Sunday,12 AM - 4 AM,No,Winter,243
0.3,53,0.5,0.0,1748,December,Sunday,12 AM - 4 AM,No,Winter,169
0.4,52,1.6,0.0,1816,December,Sunday,4 AM - 8 AM,No,Winter,71
0.3,74,1.0,0.0,178,December,Sunday,4 AM - 8 AM,No,Winter,13
-0.5,90,0.9,0.0,91,December,Sunday,4 AM - 8 AM,No,Winter,9
-0.4,92,1.1,0.0,121,December,Sunday,4 AM - 8 AM,No,Winter,20
-0.2,90,1.2,0.0,378,December,Sunday,8 AM - 12 PM,No,Winter,35
0.2,90,1.0,0.0,305,December,Sunday,8 AM - 12 PM,No,Winter,31
0.5,91,0.4,0.0,143,December,Sunday,8 AM - 12 PM,No,Winter,19
0.9,92,0.9,0.03,137,December,Sunday,8 AM - 12 PM,No,Winter,58
2.3,88,0.3,0.28,245,December,Sunday,12 PM - 4 PM,No,Winter,119
3.3,87,1.1,0.54,230,December,Sunday,12 PM - 4 PM,No,Winter,182
4.2,85,0.7,0.65,325,December,Sunday,12 PM - 4 PM,No,Winter,235
6.7,63,4.5,0.35,715,December,Sunday,12 PM - 4 PM,No,Winter,180
5.4,71,3.5,0.2,622,December,Sunday,4 PM - 8 PM,No,Winter,214
3.6,65,4.3,0.03,1061,December,Sunday,4 PM - 8 PM,No,Winter,226
2.0,61,3.0,0.0,2000,December,Sunday,4 PM - 8 PM,No,Winter,210
1.6,53,4.0,0.0,2000,December,Sunday,4 PM - 8 PM,No,Winter,181
0.6,57,3.9,0.0,1954,December,Sunday,8 PM - 12 AM,No,Winter,165
0.0,59,3.0,0.0,1862,December,Sunday,8 PM - 12 AM,No,Winter,167
-1.0,56,4.7,0.0,2000,December,Sunday,8 PM - 12 AM,No,Winter,152
-1.4,43,4.3,0.0,2000,December,Sunday,8 PM - 12 AM,No,Winter,148
-2.5,39,3.4,0.0,2000,December,Monday,12 AM - 4 AM,No,Winter,125
-3.4,36,3.8,0.0,2000,December,Monday,12 AM - 4 AM,No,Winter,111
-4.2,35,3.4,0.0,2000,December,Monday,12 AM - 4 AM,No,Winter,67
-4.7,38,2.4,0.0,2000,December,Monday,12 AM - 4 AM,No,Winter,45
-5.2,35,3.2,0.0,2000,December,Monday,4 AM - 8 AM,No,Winter,44
-5.6,38,3.2,0.0,1974,December,Monday,4 AM - 8 AM,No,Winter,86
-5.9,39,2.9,0.0,1979,December,Monday,4 AM - 8 AM,No,Winter,136
-6.0,39,3.1,0.0,1996,December,Monday,4 AM - 8 AM,No,Winter,325
-6.0,38,3.6,0.01,1994,December,Monday,8 AM - 12 PM,No,Winter,653
-5.9,36,5.1,0.1,1941,December,Monday,8 AM - 12 PM,No,Winter,326
-5.3,32,4.5,0.62,2000,December,Monday,8 AM - 12 PM,No,Winter,212
-4.7,36,3.8,1.0,2000,December,Monday,8 AM - 12 PM,No,Winter,226
-5.2,33,4.6,1.26,1973,December,Monday,12 PM - 4 PM,No,Winter,247
-5.4,32,5.1,1.24,1986,December,Monday,12 PM - 4 PM,No,Winter,241
-5.4,31,4.1,1.13,1945,December,Monday,12 PM - 4 PM,No,Winter,253
-5.5,33,4.5,0.92,2000,December,Monday,12 PM - 4 PM,No,Winter,269
-6.0,40,4.0,0.55,2000,December,Monday,4 PM - 8 PM,No,Winter,277
-7.1,44,4.2,0.18,2000,December,Monday,4 PM - 8 PM,No,Winter,361
-7.9,43,3.3,0.0,2000,December,Monday,4 PM - 8 PM,No,Winter,557
-8.6,45,3.9,0.0,2000,December,Monday,4 PM - 8 PM,No,Winter,371
-9.3,49,3.8,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,254
-9.7,51,2.5,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,266
-10.2,50,3.0,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,222
-10.7,53,1.2,0.0,2000,December,Monday,8 PM - 12 AM,No,Winter,174
-11.0,51,1.1,0.0,2000,December,Tuesday,12 AM - 4 AM,No,Winter,133
-11.2,51,1.1,0.0,2000,December,Tuesday,12 AM - 4 AM,No,Winter,127
-11.5,50,0.7,0.0,2000,December,Tuesday,12 AM - 4 AM,No,Winter,95
-11.6,50,2.2,0.0,1995,December,Tuesday,12 AM - 4 AM,No,Winter,54
-11.6,47,2.1,0.0,1982,December,Tuesday,4 AM - 8 AM,No,Winter,46
-11.6,45,2.8,0.0,1951,December,Tuesday,4 AM - 8 AM,No,Winter,65
-11.8,47,2.5,0.0,1973,December,Tuesday,4 AM - 8 AM,No,Winter,104
-12.1,50,2.3,0.0,1929,December,Tuesday,4 AM - 8 AM,No,Winter,280
-12.3,52,1.3,0.0,1914,December,Tuesday,8 AM - 12 PM,No,Winter,580
-11.8,46,2.9,0.1,1956,December,Tuesday,8 AM - 12 PM,No,Winter,275
-10.5,45,3.3,0.6,1855,December,Tuesday,8 AM - 12 PM,No,Winter,184
-9.4,42,3.1,0.93,1815,December,Tuesday,8 AM - 12 PM,No,Winter,201
-8.3,35,2.9,1.14,1967,December,Tuesday,12 PM - 4 PM,No,Winter,228
-6.9,37,2.4,1.22,1955,December,Tuesday,12 PM - 4 PM,No,Winter,225
-5.4,32,2.0,1.12,1930,December,Tuesday,12 PM - 4 PM,No,Winter,258
-5.8,30,2.8,0.92,2000,December,Tuesday,12 PM - 4 PM,No,Winter,250
-6.0,29,2.8,0.58,1983,December,Tuesday,4 PM - 8 PM,No,Winter,248
-7.0,32,2.6,0.19,2000,December,Tuesday,4 PM - 8 PM,No,Winter,305
-7.7,36,1.0,0.0,2000,December,Tuesday,4 PM - 8 PM,No,Winter,529
-8.2,43,1.1,0.0,2000,December,Tuesday,4 PM - 8 PM,No,Winter,350
-8.4,42,1.0,0.0,2000,December,Tuesday,8 PM - 12 AM,No,Winter,260
-8.8,43,1.4,0.0,1999,December,Tuesday,8 PM - 12 AM,No,Winter,270
-9.0,45,1.3,0.0,1999,December,Tuesday,8 PM - 12 AM,No,Winter,256
-9.3,47,2.1,0.0,2000,December,Tuesday,8 PM - 12 AM,No,Winter,173
-9.5,48,1.3,0.0,1996,December,Wednesday,12 AM - 4 AM,No,Winter,168
-10.2,52,1.6,0.0,1997,December,Wednesday,12 AM - 4 AM,No,Winter,183
-10.4,53,1.8,0.0,1949,December,Wednesday,12 AM - 4 AM,No,Winter,120
-10.9,55,1.8,0.0,1913,December,Wednesday,12 AM - 4 AM,No,Winter,79
-11.4,58,1.3,0.0,1907,December,Wednesday,4 AM - 8 AM,No,Winter,41
-11.5,58,1.1,0.0,1923,December,Wednesday,4 AM - 8 AM,No,Winter,68
-11.9,57,1.1,0.0,1974,December,Wednesday,4 AM - 8 AM,No,Winter,109
-11.7,53,1.6,0.0,1998,December,Wednesday,4 AM - 8 AM,No,Winter,310
-11.4,47,3.3,0.0,2000,December,Wednesday,8 AM - 12 PM,No,Winter,591
-11.1,46,3.4,0.1,1981,December,Wednesday,8 AM - 12 PM,No,Winter,340
-9.5,39,2.1,0.6,1875,December,Wednesday,8 AM - 12 PM,No,Winter,202
-8.1,35,1.8,0.96,1806,December,Wednesday,8 AM - 12 PM,No,Winter,251
-6.5,30,2.9,1.17,1945,December,Wednesday,12 PM - 4 PM,No,Winter,267
-5.8,28,2.9,1.23,1887,December,Wednesday,12 PM - 4 PM,No,Winter,251
-4.7,27,2.9,1.12,1883,December,Wednesday,12 PM - 4 PM,No,Winter,240
-4.9,26,3.1,0.89,1887,December,Wednesday,12 PM - 4 PM,No,Winter,240
-4.5,26,2.2,0.56,2000,December,Wednesday,4 PM - 8 PM,No,Winter,278
-5.6,29,1.7,0.18,2000,December,Wednesday,4 PM - 8 PM,No,Winter,392
-6.6,33,1.1,0.0,2000,December,Wednesday,4 PM - 8 PM,No,Winter,537
-6.6,31,1.6,0.0,2000,December,Wednesday,4 PM - 8 PM,No,Winter,373
-7.6,35,0.8,0.0,2000,December,Wednesday,8 PM - 12 AM,No,Winter,263
-8.3,39,1.0,0.0,2000,December,Wednesday,8 PM - 12 AM,No,Winter,271
-8.9,39,0.1,0.0,2000,December,Wednesday,8 PM - 12 AM,No,Winter,271
-9.2,44,0.4,0.0,1978,December,Wednesday,8 PM - 12 AM,No,Winter,174
-9.5,50,0.6,0.0,1953,December,Thursday,12 AM - 4 AM,No,Winter,171
-9.8,48,0.8,0.0,2000,December,Thursday,12 AM - 4 AM,No,Winter,170
-10.6,44,0.8,0.0,1903,December,Thursday,12 AM - 4 AM,No,Winter,107
-10.7,48,0.4,0.0,1651,December,Thursday,12 AM - 4 AM,No,Winter,80
-11.0,50,0.8,0.0,1718,December,Thursday,4 AM - 8 AM,No,Winter,52
-10.8,48,0.8,0.0,1648,December,Thursday,4 AM - 8 AM,No,Winter,62
