Temperature(°C),Humidity(%),Wind speed (m/s),Solar Radiation (MJ/m2),Month,Weekday,Hour,Holiday,Seasons,Rented Bike Count
-0.2,54,0.5,0.0,12.0,1.0,1.0,0.0,2.0,280
0.2,52,0.7,0.0,12.0,1.0,1.0,0.0,2.0,243
0.3,53,0.5,0.0,12.0,1.0,1.0,0.0,2.0,169
0.4,52,1.6,0.0,12.0,1.0,1.0,0.0,2.0,71
0.3,74,1.0,0.0,12.0,1.0,1.0,0.0,2.0,13
-0.5,90,0.9,0.0,12.0,1.0,1.0,0.0,2.0,9
-0.4,92,1.1,0.0,12.0,1.0,2.0,0.0,2.0,20
-0.2,90,1.2,0.0,12.0,1.0,2.0,0.0,2.0,35
0.2,90,1.0,0.0,12.0,1.0,2.0,0.0,2.0,31
0.5,91,0.4,0.0,12.0,1.0,2.0,0.0,2.0,19
0.9,92,0.9,0.03,12.0,1.0,,0.0,2.0,58
2.3,88,0.3,0.28,12.0,1.0,,0.0,2.0,119
3.3,87,1.1,0.54,12.0,1.0,,0.0,2.0,182
4.2,85,0.7,0.65,12.0,1.0,,0.0,2.0,235
6.7,63,4.5,0.35,12.0,1.0,,0.0,2.0,180
5.4,71,3.5,0.2,12.0,1.0,,0.0,2.0,214
3.6,65,4.3,0.03,12.0,1.0,4.0,0.0,2.0,226
2.0,61,3.0,0.0,12.0,1.0,4.0,0.0,2.0,210
1.6,53,4.0,0.0,12.0,1.0,4.0,0.0,2.0,181
0.6,57,3.9,0.0,12.0,1.0,4.0,0.0,2.0,165
0.0,59,3.0,0.0,12.0,1.0,4.0,0.0,2.0,167
-1.0,56,4.7,0.0,12.0,1.0,4.0,0.0,2.0,152
-1.4,43,4.3,0.0,12.0,1.0,1.0,0.0,2.0,148
-2.5,39,3.4,0.0,12.0,2.0,1.0,0.0,2.0,125
-3.4,36,3.8,0.0,12.0,2.0,1.0,0.0,2.0,111
-4.2,35,3.4,0.0,12.0,2.0,1.0,0.0,2.0,67
-4.7,38,2.4,0.0,12.0,2.0,1.0,0.0,2.0,45
-5.2,35,3.2,0.0,12.0,2.0,1.0,0.0,2.0,44
-5.6,38,3.2,0.0,12.0,2.0,1.0,0.0,2.0,86
-5.9,39,2.9,0.0,12.0,2.0,1.0,0.0,2.0,136
-6.0,39,3.1,0.0,12.0,2.0,2.0,0.0,2.0,325
-6.0,38,3.6,0.01,12.0,2.0,2.0,0.0,2.0,653
-5.9,36,5.1,0.1,12.0,2.0,2.0,0.0,2.0,326
-5.3,32,4.5,0.62,12.0,2.0,2.0,0.0,2.0,212
-4.7,36,3.8,1.0,12.0,2.0,,0.0,2.0,226
-5.2,33,4.6,1.26,12.0,2.0,,0.0,2.0,247
-5.4,32,5.1,1.24,12.0,2.0,,0.0,2.0,241
-5.4,31,4.1,1.13,12.0,2.0,,0.0,2.0,253
-5.5,33,4.5,0.92,12.0,2.0,,0.0,2.0,269
-6.0,40,4.0,0.55,12.0,2.0,,0.0,2.0,277
-7.1,44,4.2,0.18,12.0,2.0,4.0,0.0,2.0,361
-7.9,43,3.3,0.0,12.0,2.0,4.0,0.0,2.0,557
-8.6,45,3.9,0.0,12.0,2.0,4.0,0.0,2.0,371
-9.3,49,3.8,0.0,12.0,2.0,4.0,0.0,2.0,254
-9.7,51,2.5,0.0,12.0,2.0,4.0,0.0,2.0,266
-10.2,50,3.0,0.0,12.0,2.0,4.0,0.0,2.0,222
-10.7,53,1.2,0.0,12.0,2.0,1.0,0.0,2.0,174
-11.0,51,1.1,0.0,12.0,3.0,1.0,0.0,2.0,133
-11.2,51,1.1,0.0,12.0,3.0,1.0,0.0,2.0,127
-11.5,50,0.7,0.0,12.0,3.0,1.0,0.0,2.0,95
-11.6,50,2.2,0.0,12.0,3.0,1.0,0.0,2.0,54
-11.6,47,2.1,0.0,12.0,3.0,1.0,0.0,2.0,46
-11.6,45,2.8,0.0,12.0,3.0,1.0,0.0,2.0,65
-11.8,47,2.5,0.0,12.0,3.0,1.0,0.0,2.0,104
-12.1,50,2.3,0.0,12.0,3.0,2.0,0.0,2.0,280
-12.3,52,1.3,0.0,12.0,3.0,2.0,0.0,2.0,580
-11.8,46,2.9,0.1,12.0,3.0,2.0,0.0,2.0,275
-10.5,45,3.3,0.6,12.0,3.0,2.0,0.0,2.0,184
-9.4,42,3.1,0.93,12.0,3.0,,0.0,2.0,201
-8.3,35,2.9,1.14,12.0,3.0,,0.0,2.0,228
-6.9,37,2.4,1.22,12.0,3.0,,0.0,2.0,225
-5.4,32,2.0,1.12,12.0,3.0,,0.0,2.0,258
-5.8,30,2.8,0.92,12.0,3.0,,0.0,2.0,250
-6.0,29,2.8,0.58,12.0,3.0,,0.0,2.0,248
-7.0,32,2.6,0.19,12.0,3.0,4.0,0.0,2.0,305
-7.7,36,1.0,0.0,12.0,3.0,4.0,0.0,2.0,529
-8.2,43,1.1,0.0,12.0,3.0,4.0,0.0,2.0,350
-8.4,42,1.0,0.0,12.0,3.0,4.0,0.0,2.0,260
-8.8,43,1.4,0.0,12.0,3.0,4.0,0.0,2.0,270
-9.0,45,1.3,0.0,12.0,3.0,4.0,0.0,2.0,256
-9.3,47,2.1,0.0,12.0,3.0,1.0,0.0,2.0,173
-9.5,48,1.3,0.0,12.0,4.0,1.0,0.0,2.0,168
-10.2,52,1.6,0.0,12.0,4.0,1.0,0.0,2.0,183
-10.4,53,1.8,0.0,12.0,4.0,1.0,0.0,2.0,120
-10.9,55,1.8,0.0,12.0,4.0,1.0,0.0,2.0,79
-11.4,58,1.3,0.0,12.0,4.0,1.0,0.0,2.0,41
-11.5,58,1.1,0.0,12.0,4.0,1.0,0.0,2.0,68
-11.9,57,1.1,0.0,12.0,4.0,1.0,0.0,2.0,109
-11.7,53,1.6,0.0,12.0,4.0,2.0,0.0,2.0,310
-11.4,47,3.3,0.0,12.0,4.0,2.0,0.0,2.0,591
-11.1,46,3.4,0.1,12.0,4.0,2.0,0.0,2.0,340
-9.5,39,2.1,0.6,12.0,4.0,2.0,0.0,2.0,202
-8.1,35,1.8,0.96,12.0,4.0,,0.0,2.0,251
-6.5,30,2.9,1.17,12.0,4.0,,0.0,2.0,267
-5.8,28,2.9,1.23,12.0,4.0,,0.0,2.0,251
-4.7,27,2.9,1.12,12.0,4.0,,0.0,2.0,240
-4.9,26,3.1,0.89,12.0,4.0,,0.0,2.0,240
-4.5,26,2.2,0.56,12.0,4.0,,0.0,2.0,278
-5.6,29,1.7,0.18,12.0,4.0,4.0,0.0,2.0,392
-6.6,33,1.1,0.0,12.0,4.0,4.0,0.0,2.0,537
-6.6,31,1.6,0.0,12.0,4.0,4.0,0.0,2.0,373
-7.6,35,0.8,0.0,12.0,4.0,4.0,0.0,2.0,263
-8.3,39,1.0,0.0,12.0,4.0,4.0,0.0,2.0,271
-8.9,39,0.1,0.0,12.0,4.0,4.0,0.0,2.0,271
-9.2,44,0.4,0.0,12.0,4.0,1.0,0.0,2.0,174
-9.5,50,0.6,0.0,12.0,5.0,1.0,0.0,2.0,171
-9.8,48,0.8,0.0,12.0,5.0,1.0,0.0,2.0,170
-10.6,44,0.8,0.0,12.0,5.0,1.0,0.0,2.0,107
-10.7,48,0.4,0.0,12.0,5.0,1.0,0.0,2.0,80
-11.0,50,0.8,0.0,12.0,5.0,1.0,0.0,2.0,52
-10.8,48,0.8,0.0,12.0,5.0,1.0,0.0,2.0,62
-11.0,55,0.8,0.0,12.0,5.0,1.0,0.0,2.0,108
-10.9,57,1.1,0.0,12.0,5.0,2.0,0.0,2.0,279
-10.4,54,1.1,0.01,12.0,5.0,2.0,0.0,2.0,621
-9.4,44,0.5,0.13,12.0,5.0,2.0,0.0,2.0,305
-7.7,43,0.9,0.35,12.0,5.0,2.0,0.0,2.0,189
-6.1,38,1.0,0.52,12.0,5.0,,0.0,2.0,247
-4.9,34,1.3,0.6,12.0,5.0,,0.0,2.0,278
-3.8,32,0.9,0.52,12.0,5.0,,0.0,2.0,282
-2.7,28,0.7,0.65,12.0,5.0,,0.0,2.0,294
-2.5,29,1.1,0.48,12.0,5.0,,0.0,2.0,301
-2.4,28,0.9,0.35,12.0,5.0,,0.0,2.0,335
-2.9,31,0.6,0.09,12.0,5.0,4.0,0.0,2.0,382
-3.5,35,1.1,0.0,12.0,5.0,4.0,0.0,2.0,612
-4.2,40,0.9,0.0,12.0,5.0,4.0,0.0,2.0,410
-4.8,43,1.1,0.0,12.0,5.0,4.0,0.0,2.0,277
-4.8,45,0.8,0.0,12.0,5.0,4.0,0.0,2.0,316
-4.9,44,1.1,0.0,12.0,5.0,4.0,0.0,2.0,309
-5.6,53,1.2,0.0,12.0,5.0,1.0,0.0,2.0,211
-5.7,53,0.6,0.0,12.0,6.0,1.0,0.0,2.0,227
-6.3,57,0.4,0.0,12.0,6.0,1.0,0.0,2.0,241
-6.8,58,0.4,0.0,12.0,6.0,1.0,0.0,2.0,162
-6.9,56,0.5,0.0,12.0,6.0,1.0,0.0,2.0,110
-7.1,59,0.8,0.0,12.0,6.0,1.0,0.0,2.0,69
-7.5,64,0.9,0.0,12.0,6.0,1.0,0.0,2.0,68
-7.4,64,0.7,0.0,12.0,6.0,1.0,0.0,2.0,129
-7.0,63,0.6,0.0,12.0,6.0,2.0,0.0,2.0,285
-6.6,64,1.1,0.0,12.0,6.0,2.0,0.0,2.0,658
-5.9,60,0.6,0.09,12.0,6.0,2.0,0.0,2.0,330
-4.6,52,0.8,0.34,12.0,6.0,2.0,0.0,2.0,221
-2.9,46,1.0,0.42,12.0,6.0,,0.0,2.0,279
-2.5,43,0.7,0.34,12.0,6.0,,0.0,2.0,309
-1.6,40,0.3,0.32,12.0,6.0,,0.0,2.0,325
-0.7,39,0.8,0.35,12.0,6.0,,0.0,2.0,329
0.1,35,1.5,0.42,12.0,6.0,,0.0,2.0,342
0.0,37,0.6,0.13,12.0,6.0,,0.0,2.0,354
-0.2,39,0.8,0.0,12.0,6.0,4.0,0.0,2.0,464
0.1,43,0.9,0.0,12.0,6.0,4.0,0.0,2.0,682
0.6,41,1.2,0.0,12.0,6.0,4.0,0.0,2.0,451
0.9,42,1.2,0.0,12.0,6.0,4.0,0.0,2.0,320
0.7,47,2.7,0.0,12.0,6.0,4.0,0.0,2.0,300
-0.1,49,2.0,0.0,12.0,6.0,4.0,0.0,2.0,296
-1.3,60,2.5,0.0,12.0,6.0,1.0,0.0,2.0,247
-2.6,73,3.4,0.0,12.0,7.0,1.0,0.0,2.0,217
-3.4,76,2.9,0.0,12.0,7.0,1.0,0.0,2.0,302
-4.1,73,2.1,0.0,12.0,7.0,1.0,0.0,2.0,228
-4.5,71,1.6,0.0,12.0,7.0,1.0,0.0,2.0,129
-5.0,70,2.7,0.0,12.0,7.0,1.0,0.0,2.0,80
-5.6,72,2.0,0.0,12.0,7.0,1.0,0.0,2.0,45
-6.1,69,2.9,0.0,12.0,7.0,1.0,0.0,2.0,66
-6.7,64,2.1,0.0,12.0,7.0,2.0,0.0,2.0,90
-7.3,62,2.6,0.0,12.0,7.0,2.0,0.0,2.0,190
-7.2,47,2.8,0.18,12.0,7.0,2.0,0.0,2.0,195
-6.2,42,2.3,0.52,12.0,7.0,2.0,0.0,2.0,201
-5.2,30,4.0,0.86,12.0,7.0,,0.0,2.0,239
-4.1,28,3.8,1.08,12.0,7.0,,0.0,2.0,252
-3.7,23,4.0,1.12,12.0,7.0,,0.0,2.0,296
-3.4,22,4.3,1.07,12.0,7.0,,0.0,2.0,292
-3.3,22,5.0,0.86,12.0,7.0,,0.0,2.0,291
-3.3,24,3.5,0.54,12.0,7.0,,0.0,2.0,258
-4.6,26,2.6,0.17,12.0,7.0,4.0,0.0,2.0,277
-5.3,28,3.5,0.0,12.0,7.0,4.0,0.0,2.0,212
-6.0,32,2.4,0.0,12.0,7.0,4.0,0.0,2.0,173
-6.6,37,3.4,0.0,12.0,7.0,4.0,0.0,2.0,143
-7.1,39,3.2,0.0,12.0,7.0,4.0,0.0,2.0,159
-7.6,41,1.6,0.0,12.0,7.0,4.0,0.0,2.0,155
-8.0,41,2.2,0.0,12.0,7.0,1.0,0.0,2.0,142
-8.1,41,2.0,0.0,12.0,1.0,1.0,0.0,2.0,175
